"Node"	"Coverage"
"155+"	"128"
"155-"	"128"
"156+"	"128"
"156-"	"128"
"157+"	"128"
"157-"	"128"
"158+"	"128"
"158-"	"128"
"159+"	"128"
"159-"	"128"
"16+"	"55232"
"16-"	"55232"
"160+"	"128"
"160-"	"128"
"161+"	"128"
"161-"	"128"
"162+"	"128"
"162-"	"128"
"163+"	"128"
"163-"	"128"
"164+"	"128"
"164-"	"128"
"165+"	"128"
"165-"	"128"
"166+"	"128"
"166-"	"128"
"167+"	"128"
"167-"	"128"
"17+"	"54749"
"17-"	"54749"
"18+"	"54406"
"18-"	"54406"
"19+"	"46485"
"19-"	"46485"
"2+"	"216461"
"2-"	"216461"
"20+"	"46006"
"20-"	"46006"
"21+"	"43349"
"21-"	"43349"
"22+"	"40606"
"22-"	"40606"
"23+"	"39525"
"23-"	"39525"
"24+"	"37004"
"24-"	"37004"
"25+"	"36624"
"25-"	"36624"
"26+"	"32924"
"26-"	"32924"
"27+"	"31982"
"27-"	"31982"
"28+"	"31471"
"28-"	"31471"
"29+"	"29204"
"29-"	"29204"
"3+"	"152466"
"3-"	"152466"
"30+"	"26013"
"30-"	"26013"
"31+"	"21453"
"31-"	"21453"
"32+"	"18631"
"32-"	"18631"
"33+"	"18453"
"33-"	"18453"
"34+"	"18101"
"34-"	"18101"
"35+"	"16683"
"35-"	"16683"
"36+"	"16596"
"36-"	"16596"
"37+"	"15427"
"37-"	"15427"
"38+"	"14745"
"38-"	"14745"
"39+"	"13614"
"39-"	"13614"
"4+"	"130209"
"4-"	"130209"
"40+"	"13259"
"40-"	"13259"
"41+"	"12592"
"41-"	"12592"
"42+"	"11091"
"42-"	"11091"
"43+"	"10937"
"43-"	"10937"
"44+"	"10377"
"44-"	"10377"
"45+"	"8944"
"45-"	"8944"
"46+"	"8741"
"46-"	"8741"
"47+"	"8429"
"47-"	"8429"
"48+"	"5491"
"48-"	"5491"
"49+"	"5276"
"49-"	"5276"
"5+"	"122325"
"5-"	"122325"
"50+"	"5246"
"50-"	"5246"
"51+"	"4350"
"51-"	"4350"
"52+"	"4268"
"52-"	"4268"
"53+"	"3396"
"53-"	"3396"
"54+"	"3331"
"54-"	"3331"
"55+"	"3179"
"55-"	"3179"
"56+"	"2927"
"56-"	"2927"
"57+"	"2880"
"57-"	"2880"
"58+"	"2779"
"58-"	"2779"
"59+"	"1843"
"59-"	"1843"
"6+"	"90412"
"6-"	"90412"
"60+"	"1703"
"60-"	"1703"
"61+"	"1666"
"61-"	"1666"
"62+"	"1558"
"62-"	"1558"
"63+"	"1352"
"63-"	"1352"
"64+"	"1346"
"64-"	"1346"
"65+"	"1338"
"65-"	"1338"
"66+"	"1249"
"66-"	"1249"
"67+"	"1164"
"67-"	"1164"
"68+"	"1161"
"68-"	"1161"
"69+"	"1044"
"69-"	"1044"
"7+"	"87827"
"7-"	"87827"
"70+"	"1010"
"70-"	"1010"
"71+"	"999"
"71-"	"999"
"72+"	"974"
"72-"	"974"
"73+"	"970"
"73-"	"970"
"74+"	"848"
"74-"	"848"
"75+"	"773"
"75-"	"773"
"76+"	"761"
"76-"	"761"
"77+"	"737"
"77-"	"737"
"78+"	"661"
"78-"	"661"
"79+"	"641"
"79-"	"641"
"8+"	"87565"
"8-"	"87565"
"80+"	"641"
"80-"	"641"
"81+"	"637"
"81-"	"637"
"82+"	"635"
"82-"	"635"
"83+"	"634"
"83-"	"634"
"84+"	"574"
"84-"	"574"
"85+"	"553"
"85-"	"553"
"86+"	"553"
"86-"	"553"
"87+"	"540"
"87-"	"540"
"88+"	"467"
"88-"	"467"
"89+"	"448"
"89-"	"448"
"9+"	"78850"
"9-"	"78850"
"90+"	"446"
"90-"	"446"
"91+"	"420"
"91-"	"420"
"92+"	"416"
"92-"	"416"
"93+"	"413"
"93-"	"413"
"94+"	"411"
"94-"	"411"
"95+"	"384"
"95-"	"384"
"96+"	"356"
"96-"	"356"
"97+"	"354"
"97-"	"354"
"98+"	"339"
"98-"	"339"
"99+"	"329"
"99-"	"329"
