"Node"	"Coverage"
"197-"	"205"
"198+"	"203"
"198-"	"203"
"199+"	"194"
"199-"	"194"
"2+"	"117324"
"2-"	"117324"
"20+"	"49605"
"20-"	"49605"
"200+"	"192"
"200-"	"192"
"201+"	"192"
"201-"	"192"
"202+"	"189"
"202-"	"189"
"203+"	"181"
"203-"	"181"
"204+"	"179"
"204-"	"179"
"205+"	"177"
"205-"	"177"
"206+"	"174"
"206-"	"174"
"207+"	"167"
"207-"	"167"
"208+"	"161"
"208-"	"161"
"209+"	"160"
"209-"	"160"
"21+"	"49320"
"21-"	"49320"
"210+"	"158"
"210-"	"158"
"211+"	"154"
"211-"	"154"
"212+"	"149"
"212-"	"149"
"213+"	"149"
"213-"	"149"
"214+"	"148"
"214-"	"148"
"215+"	"146"
"215-"	"146"
"216+"	"145"
"216-"	"145"
"217+"	"145"
"217-"	"145"
"218+"	"137"
"218-"	"137"
"219+"	"134"
"219-"	"134"
"22+"	"47851"
"22-"	"47851"
"220+"	"134"
"220-"	"134"
"221+"	"133"
"221-"	"133"
"222+"	"133"
"222-"	"133"
"223+"	"132"
"223-"	"132"
"224+"	"132"
"224-"	"132"
"225+"	"132"
"225-"	"132"
"226+"	"132"
"226-"	"132"
"227+"	"131"
"227-"	"131"
"228+"	"131"
"228-"	"131"
"229+"	"131"
"229-"	"131"
"23+"	"47477"
"23-"	"47477"
"230+"	"130"
"230-"	"130"
"231+"	"130"
"231-"	"130"
"232+"	"130"
"232-"	"130"
"233+"	"130"
"233-"	"130"
"234+"	"130"
"234-"	"130"
"235+"	"129"
"235-"	"129"
"236+"	"129"
"236-"	"129"
"237+"	"129"
"237-"	"129"
"238+"	"129"
"238-"	"129"
"239+"	"129"
"239-"	"129"
"24+"	"43785"
"24-"	"43785"
"240+"	"129"
"240-"	"129"
"241+"	"129"
"241-"	"129"
"242+"	"129"
"242-"	"129"
"243+"	"129"
"243-"	"129"
"244+"	"129"
"244-"	"129"
"245+"	"129"
"245-"	"129"
"246+"	"129"
"246-"	"129"
"247+"	"129"
"247-"	"129"
"248+"	"129"
"248-"	"129"
"249+"	"129"
"249-"	"129"
"25+"	"36824"
"25-"	"36824"
"250+"	"129"
"250-"	"129"
"251+"	"129"
"251-"	"129"
"252+"	"129"
"252-"	"129"
"253+"	"129"
"253-"	"129"
"254+"	"129"
"254-"	"129"
"255+"	"128"
"255-"	"128"
"256+"	"128"
"256-"	"128"
"257+"	"128"
"257-"	"128"
"258+"	"128"
"258-"	"128"
"259+"	"128"
"259-"	"128"
"26+"	"33833"
"26-"	"33833"
"260+"	"128"
"260-"	"128"
"261+"	"128"
"261-"	"128"
"262+"	"128"
"262-"	"128"
"263+"	"128"
"263-"	"128"
"264+"	"128"
"264-"	"128"
"265+"	"128"
"265-"	"128"
"266+"	"128"
"266-"	"128"
"267+"	"128"
"267-"	"128"
"268+"	"128"
"268-"	"128"
"269+"	"128"
"269-"	"128"
"27+"	"32581"
"27-"	"32581"
"270+"	"128"
"270-"	"128"
"271+"	"128"
"271-"	"128"
"272+"	"128"
"272-"	"128"
"273+"	"128"
"273-"	"128"
"274+"	"128"
"274-"	"128"
"275+"	"128"
"275-"	"128"
"276+"	"128"
"276-"	"128"
"277+"	"128"
"277-"	"128"
"278+"	"128"
"278-"	"128"
"279+"	"128"
"279-"	"128"
"28+"	"32150"
"28-"	"32150"
"280+"	"128"
"280-"	"128"
"281+"	"128"
"281-"	"128"
"282+"	"128"
"282-"	"128"
"283+"	"128"
"283-"	"128"
"284+"	"128"
"284-"	"128"
"285+"	"128"
"285-"	"128"
"286+"	"128"
"286-"	"128"
"287+"	"128"
"287-"	"128"
"288+"	"128"
"288-"	"128"
"289+"	"128"
"289-"	"128"
"29+"	"31376"
"29-"	"31376"
"290+"	"128"
"290-"	"128"
"291+"	"128"
"291-"	"128"
"292+"	"128"
"292-"	"128"
"293+"	"128"
"293-"	"128"
"294+"	"128"
"294-"	"128"
"295+"	"128"
"295-"	"128"
"296+"	"128"
"296-"	"128"
"297+"	"128"
"297-"	"128"
"298+"	"128"
"298-"	"128"
"299+"	"128"
"299-"	"128"
"3+"	"101777"
"3-"	"101777"
"30+"	"31361"
"30-"	"31361"
"300+"	"128"
"300-"	"128"
"301+"	"128"
"301-"	"128"
"302+"	"128"
"302-"	"128"
"303+"	"128"
"303-"	"128"
"304+"	"128"
"304-"	"128"
"305+"	"128"
"305-"	"128"
"306+"	"128"
"306-"	"128"
"307+"	"128"
"307-"	"128"
"308+"	"128"
"308-"	"128"
"309+"	"128"
"309-"	"128"
"31+"	"29352"
"31-"	"29352"
"310+"	"128"
"310-"	"128"
"311+"	"128"
"311-"	"128"
"312+"	"128"
"312-"	"128"
"313+"	"128"
"313-"	"128"
"314+"	"128"
"314-"	"128"
"315+"	"128"
"315-"	"128"
"316+"	"128"
"316-"	"128"
"317+"	"128"
"317-"	"128"
"318+"	"128"
"318-"	"128"
"319+"	"128"
"319-"	"128"
"32+"	"29090"
"32-"	"29090"
"320+"	"128"
"320-"	"128"
"321+"	"128"
"321-"	"128"
"322+"	"128"
"322-"	"128"
"33+"	"29061"
"33-"	"29061"
"34+"	"27486"
"34-"	"27486"
"35+"	"27027"
"35-"	"27027"
"36+"	"26416"
"36-"	"26416"
"37+"	"25756"
"37-"	"25756"
"38+"	"24659"
"38-"	"24659"
"39+"	"24083"
"39-"	"24083"
"4+"	"100959"
"4-"	"100959"
"40+"	"22961"
"40-"	"22961"
"41+"	"22651"
"41-"	"22651"
"42+"	"20954"
"42-"	"20954"
"43+"	"20550"
"43-"	"20550"
"44+"	"20440"
"44-"	"20440"
"45+"	"19763"
"45-"	"19763"
"46+"	"19433"
"46-"	"19433"
"47+"	"19179"
"47-"	"19179"
"48+"	"19042"
"48-"	"19042"
"49+"	"18749"
"49-"	"18749"
"5+"	"97916"
"5-"	"97916"
"50+"	"18256"
"50-"	"18256"
"51+"	"17434"
"51-"	"17434"
"52+"	"17405"
"52-"	"17405"
"53+"	"17367"
"53-"	"17367"
"54+"	"17262"
"54-"	"17262"
"55+"	"16653"
"55-"	"16653"
"56+"	"16116"
"56-"	"16116"
"57+"	"14643"
"57-"	"14643"
"58+"	"14224"
"58-"	"14224"
"59+"	"13923"
"59-"	"13923"
"6+"	"90351"
"6-"	"90351"
"60+"	"13403"
"60-"	"13403"
"61+"	"11618"
"61-"	"11618"
"62+"	"11285"
"62-"	"11285"
"63+"	"10492"
"63-"	"10492"
"64+"	"10306"
"64-"	"10306"
"65+"	"10242"
"65-"	"10242"
"66+"	"10130"
"66-"	"10130"
"67+"	"9945"
"67-"	"9945"
"68+"	"9206"
"68-"	"9206"
"69+"	"9112"
"69-"	"9112"
"7+"	"85511"
"7-"	"85511"
"70+"	"8985"
"70-"	"8985"
"71+"	"8553"
"71-"	"8553"
"72+"	"8187"
"72-"	"8187"
"73+"	"8016"
"73-"	"8016"
"74+"	"7950"
"74-"	"7950"
"75+"	"7853"
"75-"	"7853"
"76+"	"7243"
"76-"	"7243"
"77+"	"6824"
"77-"	"6824"
"78+"	"6601"
"78-"	"6601"
"79+"	"6556"
"79-"	"6556"
"8+"	"75934"
"8-"	"75934"
"80+"	"6531"
"80-"	"6531"
"81+"	"6169"
"81-"	"6169"
"82+"	"5896"
"82-"	"5896"
"83+"	"5683"
"83-"	"5683"
"84+"	"5463"
"84-"	"5463"
"85+"	"5017"
"85-"	"5017"
"86+"	"4998"
"86-"	"4998"
"87+"	"4981"
"87-"	"4981"
"88+"	"4323"
"88-"	"4323"
"89+"	"3958"
"89-"	"3958"
"9+"	"72606"
"9-"	"72606"
"90+"	"3814"
"90-"	"3814"
"91+"	"3771"
"91-"	"3771"
"92+"	"3635"
"92-"	"3635"
"93+"	"3396"
"93-"	"3396"
"94+"	"2968"
"94-"	"2968"
"95+"	"2740"
"95-"	"2740"
"96+"	"2663"
"96-"	"2663"
"97+"	"2654"
"97-"	"2654"
"98+"	"2551"
"98-"	"2551"
"99+"	"2376"
"99-"	"2376"
